Name,Platform,Year_of_Release,Genre,Global_Sales,User_Score,User_Count
Doom,PC,1992,Shooter,0.03,8.2,1796
Battle Arena Toshinden,PS,1994,Fighting,1.27,6.3,4
Resident Evil,PS,1996,Action,5.05,9.0,266
PaRappa The Rapper,PS,1996,Misc,1.92,7.4,48
Tomb Raider,PC,1996,Action,1.03,8.5,3552
Tomb Raider,PS,1996,Action,4.63,8.6,147
Tekken 2,PS,1996,Fighting,5.74,8.9,102
WipEout XL,PS,1996,Racing,0.25,8.7,20
Diablo,PC,1996,Role-Playing,1.59,8.7,850
Super Puzzle Fighter II Turbo,PS,1996,Puzzle,0.14,7.4,5
Monster Rancher,PS,1997,Simulation,1.01,8.3,10
Oddworld: Abe's Oddysee,PS,1997,Platform,1.24,9.0,96
Alundra,PS,1997,Role-Playing,0.23,9.0,41
Colony Wars,PS,1997,Simulation,0.42,7.8,12
Final Fantasy VII,PS,1997,Role-Playing,9.72,9.2,1282
Gran Turismo,PS,1997,Racing,10.95,8.7,138
Grand Prix Legends,PC,1997,Racing,0.01,7.5,6
RPG Maker,PS,1997,Role-Playing,0.5,8.2,9
Half-Life,PC,1997,Shooter,4.12,9.1,3161
RayStorm,PS,1997,Shooter,0.07,7.8,4
Theme Hospital,PC,1997,Strategy,2.4,9.0,90
Tomb Raider II,PC,1997,Action,2.29,8.3,37
Worms 2,PC,1997,Strategy,0.01,8.1,12
Castlevania: Symphony of the Night,PS,1997,Platform,1.27,9.4,358
Ace Combat 2,PS,1997,Simulation,0.89,8.2,22
Bushido Blade,PS,1997,Fighting,1.16,7.9,16
Final Fantasy Tactics,PS,1997,Role-Playing,2.45,8.2,190
Tenchu: Stealth Assassins,PS,1997,Action,1.99,8.8,45
Suikoden II,PS,1998,Role-Playing,0.68,8.4,162
ISS Pro Evolution,PS,1998,Sports,0.76,8.7,40
StarCraft,PC,1998,Strategy,0.05,9.1,813
Strikers 1945,PS,1998,Shooter,0.12,8.2,6
Metal Gear Solid,PS,1998,Action,6.03,9.4,918
Sim Theme Park,PC,1998,Strategy,2.08,8.3,14
Oddworld: Abe's Exoddus,PS,1998,Platform,0.99,9.1,69
R4: Ridge Racer Type 4,PS,1998,Racing,2.06,9.2,21
Lunar: Silver Star Story Complete,PS,1998,Role-Playing,0.55,9.1,35
Bomberman Party Edition,PS,1998,Puzzle,0.12,8.3,6
Tomb Raider: The Last Revelation,PC,1998,Action,0.41,8.6,50
Gundam Battle Assault,PS,1998,Fighting,0.23,7.8,4
Tekken 3,PS,1998,Fighting,7.16,9.1,367
Brave Fencer Musashi,PS,1998,Role-Playing,1.14,8.5,17
Caesar III,PC,1998,Strategy,0.03,8.7,50
Xenogears,PS,1998,Role-Playing,1.46,8.4,204
