"Produto","Mes","","","","",""
"Chinelo","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Bermuda","Fevereiro","","","","",""
"Oculos","Fevereiro","","","","",""
"Arara ","Fevereiro","","","","",""
"Manequim","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Oculos","Fevereiro","","","","",""
"Escova","Fevereiro","","","","",""
"Oculos","Fevereiro","","","","",""
"Oculos","Fevereiro","","","","",""
"Bermuda","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Colar","Fevereiro","","","","",""
"Escova","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Camiseta","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Oculos","Fevereiro","","","","",""
"Short","Fevereiro","","","","",""
"Short","Fevereiro","","","","",""
"Bermuda","Fevereiro","","","","",""
"Bermuda","Fevereiro","","","","",""
"Oculos","Fevereiro","","","","",""
"Oculos","Fevereiro","","","","",""
"Camiseta","Fevereiro","","","","",""
"Escova","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Bermuda","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Oculos","Fevereiro","","","","",""
"Oculos","Fevereiro","","","","",""
"Bermuda","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Escova","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Oculos","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Colar","Fevereiro","","","","",""
"Camiseta","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Oculos","Fevereiro","","","","",""
"Oculos","Fevereiro","","","","",""
"Creme","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
"Chinelo","Fevereiro","","","","",""
